"Source path before the run","Source path after the run","Parent of the recipe that made changes","Recipe that made changes","Estimated time saving","Cycle"
"The source path of the file before the run. `null` when a source file was created during the run.","A recipe may modify the source path. This is the path after the run. `null` when a source file was deleted during the run.","In a hierarchical recipe, the parent of the recipe that made a change. Empty if this is the root of a hierarchy or if the recipe is not hierarchical at all.","The specific recipe that made a change.","An estimated effort that a developer to fix manually instead of using this recipe, in unit of seconds.","The recipe cycle in which the change was made."
"medrec/modules/pom.xml","medrec/modules/pom.xml","org.openrewrite.java.migrate.UpgradeJavaVersion","org.openrewrite.maven.UseMavenCompilerPluginReleaseConfiguration","300","1"
"medrec/modules/pom.xml","medrec/modules/pom.xml","org.openrewrite.java.migrate.UpgradeBuildToJava11","org.openrewrite.java.migrate.UpgradeJavaVersion","300","1"
"medrec/modules/pom.xml","medrec/modules/pom.xml","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.UpgradeBuildToJava11","300","1"
"medrec/modules/pom.xml","medrec/modules/pom.xml","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.Java8toJava11","300","1"
"medrec/modules/pom.xml","medrec/modules/pom.xml","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeToJava17","300","1"
"medrec/modules/pom.xml","medrec/modules/pom.xml","","org.openrewrite.java.migrate.UpgradeToJava21","300","1"
"medrec/modules/pom.xml","medrec/modules/pom.xml","org.openrewrite.java.migrate.UpgradePluginsForJava11","org.openrewrite.maven.UpgradePluginVersion","300","1"
"medrec/modules/pom.xml","medrec/modules/pom.xml","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.UpgradePluginsForJava11","300","1"
"medrec/modules/pom.xml","medrec/modules/pom.xml","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.Java8toJava11","300","1"
"medrec/modules/pom.xml","medrec/modules/pom.xml","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeToJava17","300","1"
"medrec/modules/pom.xml","medrec/modules/pom.xml","","org.openrewrite.java.migrate.UpgradeToJava21","300","1"
"medrec/modules/pom.xml","medrec/modules/pom.xml","org.openrewrite.java.migrate.UpgradeJavaVersion","org.openrewrite.maven.UseMavenCompilerPluginReleaseConfiguration","300","1"
